repeat,experiment,lambda_value,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0,calibration,-1.0,unweighted,0.1554221898338668,0.002,1.0,180.0,180.0,1.0,1.0
0,calibration,0.0,both,0.045208913393802404,1.0,0.0,112.09475335119319,105.6552018820342,4.247872023186227,6.044343819499327
0,calibration,0.25,both,0.061010782845977676,0.984,0.0,131.72200074983144,133.70999497060768,2.650850642514275,3.055079020901691
0,calibration,0.5,both,0.07921145721839937,0.722,0.0,147.61406056646578,150.49063159331746,1.9185236667703887,2.0352667087272924
0,calibration,0.75,both,0.10475348412541576,0.034,1.0,164.1739842066197,165.8011502228996,1.4411437940955922,1.463492767131399
0,calibration,1.0,both,0.1554221898338668,0.002,1.0,180.0,180.0,1.0,1.0
0,power,-1.0,unweighted,0.17742933527663465,0.002,1.0,180.0,180.0,1.0,1.0
0,power,0.0,both,0.06075603657262302,0.976,0.0,112.09475335119319,105.6552018820342,4.247872023186227,6.044343819499327
0,power,0.25,both,0.07990570272314693,0.71,0.0,131.72200074983144,133.70999497060768,2.650850642514275,3.055079020901691
0,power,0.5,both,0.10056951692164785,0.08,0.0,147.61406056646578,150.49063159331746,1.9185236667703887,2.0352667087272924
0,power,0.75,both,0.12771354499459053,0.002,1.0,164.1739842066197,165.8011502228996,1.4411437940955922,1.463492767131399
0,power,1.0,both,0.17742933527663465,0.002,1.0,180.0,180.0,1.0,1.0
1,calibration,-1.0,unweighted,0.1787649748513946,0.002,1.0,180.0,180.0,1.0,1.0
1,calibration,0.0,both,0.034960073367933026,1.0,0.0,81.48595400131262,81.629907600417,9.805782818768618,8.421520934494952
1,calibration,0.25,both,0.05725931144253791,1.0,0.0,118.85420965809786,116.13810269725599,3.7568309263833903,3.597448539861841
1,calibration,0.5,both,0.07965203769718585,0.686,0.0,138.52668537058946,136.3227169657807,2.334018741352425,2.3033169060943255
1,calibration,0.75,both,0.11039562821022586,0.014,1.0,157.91375618590024,155.96122126917209,1.6055402355581838,1.6084462685157397
1,calibration,1.0,both,0.1787649748513946,0.002,1.0,180.0,180.0,1.0,1.0
1,power,-1.0,unweighted,0.20431379362901994,0.002,1.0,180.0,180.0,1.0,1.0
1,power,0.0,both,0.050145009802632985,1.0,0.0,81.48595400131262,81.629907600417,9.805782818768618,8.421520934494952
1,power,0.25,both,0.07911488421786517,0.692,0.0,118.85420965809786,116.13810269725599,3.7568309263833903,3.597448539861841
1,power,0.5,both,0.10540330421387784,0.042,1.0,138.52668537058946,136.3227169657807,2.334018741352425,2.3033169060943255
1,power,0.75,both,0.13829224257799128,0.002,1.0,157.91375618590024,155.96122126917209,1.6055402355581838,1.6084462685157397
1,power,1.0,both,0.20431379362901994,0.002,1.0,180.0,180.0,1.0,1.0
2,calibration,-1.0,unweighted,0.16788853928516995,0.002,1.0,180.0,180.0,1.0,1.0
2,calibration,0.0,both,0.051689387710859486,1.0,0.0,114.81823834002705,96.44364243599867,3.6350244132103513,8.245158859330939
2,calibration,0.25,both,0.07130688527103152,0.908,0.0,134.77156779758297,131.12850570404558,2.463847381052427,3.3551194153859236
2,calibration,0.5,both,0.09211445874946812,0.26,0.0,150.44464016195457,149.49093303117485,1.8404489974724993,2.1190972084860245
2,calibration,0.75,both,0.11932199120867029,0.002,1.0,166.00502074267368,165.98326001283232,1.4072123828185434,1.4852481581862926
2,calibration,1.0,both,0.16788853928516995,0.002,1.0,180.0,180.0,1.0,1.0
2,power,-1.0,unweighted,0.19050450674439873,0.002,1.0,180.0,180.0,1.0,1.0
2,power,0.0,both,0.0693056571303016,0.92,0.0,114.81823834002705,96.44364243599867,3.6350244132103513,8.245158859330939
2,power,0.25,both,0.09268563643514921,0.266,0.0,134.77156779758297,131.12850570404558,2.463847381052427,3.3551194153859236
2,power,0.5,both,0.11579687355010979,0.01,1.0,150.44464016195457,149.49093303117485,1.8404489974724993,2.1190972084860245
2,power,0.75,both,0.1440208952491142,0.002,1.0,166.00502074267368,165.98326001283232,1.4072123828185434,1.4852481581862926
2,power,1.0,both,0.19050450674439873,0.002,1.0,180.0,180.0,1.0,1.0
3,calibration,-1.0,unweighted,0.16111005848955953,0.002,1.0,180.0,180.0,1.0,1.0
3,calibration,0.0,both,0.034360592957611395,1.0,0.0,100.80461442636985,99.99530300555924,4.444800212583603,6.486127061934929
3,calibration,0.25,both,0.05152569474380794,1.0,0.0,124.88809366750309,128.3407612903907,2.7688136580706795,3.1928075932731215
3,calibration,0.5,both,0.07166736442966477,0.882,0.0,143.62779579582693,145.4811550155105,1.993238605001483,2.113412618712402
3,calibration,0.75,both,0.10059262122277648,0.084,0.0,162.4922831504117,162.12661632223438,1.4799582001233336,1.5104579169485415
3,calibration,1.0,both,0.16111005848955953,0.002,1.0,180.0,180.0,1.0,1.0
3,power,-1.0,unweighted,0.18066889860539553,0.002,1.0,180.0,180.0,1.0,1.0
3,power,0.0,both,0.04614935847593374,1.0,0.0,100.80461442636985,99.99530300555924,4.444800212583603,6.486127061934929
3,power,0.25,both,0.06726831321101397,0.932,0.0,124.88809366750309,128.3407612903907,2.7688136580706795,3.1928075932731215
3,power,0.5,both,0.09037614098416535,0.346,0.0,143.62779579582693,145.4811550155105,1.993238605001483,2.113412618712402
3,power,0.75,both,0.12128864811508441,0.004,1.0,162.4922831504117,162.12661632223438,1.4799582001233336,1.5104579169485415
3,power,1.0,both,0.18066889860539553,0.002,1.0,180.0,180.0,1.0,1.0
4,calibration,-1.0,unweighted,0.18491153215973177,0.002,1.0,180.0,180.0,1.0,1.0
4,calibration,0.0,both,0.04980579096295432,0.996,0.0,92.21741795597606,93.39656324304096,8.678431805364506,5.948425528884464
4,calibration,0.25,both,0.07552421229780654,0.784,0.0,126.7137552488127,122.93208893620674,3.5168612333129836,3.126857345690391
4,calibration,0.5,both,0.0993015164467359,0.122,0.0,143.88358335946072,142.4991185532846,2.213863480908061,2.116238484787864
4,calibration,0.75,both,0.129246928482547,0.002,1.0,160.99643483504246,161.55548801992938,1.5451720937099755,1.5206596670868961
4,calibration,1.0,both,0.18491153215973175,0.002,1.0,180.0,180.0,1.0,1.0
4,power,-1.0,unweighted,0.2070817177259564,0.002,1.0,180.0,180.0,1.0,1.0
4,power,0.0,both,0.06600105435510317,0.932,0.0,92.21741795597606,93.39656324304096,8.678431805364506,5.948425528884464
4,power,0.25,both,0.0973817562470903,0.19,0.0,126.7137552488127,122.93208893620674,3.5168612333129836,3.126857345690391
4,power,0.5,both,0.12396555361504649,0.002,1.0,143.88358335946072,142.4991185532846,2.213863480908061,2.116238484787864
4,power,0.75,both,0.1548393053652609,0.002,1.0,160.99643483504246,161.55548801992938,1.5451720937099755,1.5206596670868961
4,power,1.0,both,0.2070817177259564,0.002,1.0,180.0,180.0,1.0,1.0
5,calibration,-1.0,unweighted,0.15306925297210788,0.002,1.0,180.0,180.0,1.0,1.0
5,calibration,0.0,both,0.03781523344982745,1.0,0.0,108.6814004600855,107.15157343686434,4.888442401024724,4.803882026162898
5,calibration,0.25,both,0.055566902721164865,0.998,0.0,133.67682237060646,131.37639772755176,2.816137559061598,2.7983280173249936
5,calibration,0.5,both,0.07536174294261375,0.81,0.0,149.9327550994185,148.6015969090302,1.9637996125020387,1.9644264523676866
5,calibration,0.75,both,0.10227654423798324,0.04,1.0,165.45914492103114,165.1490342843907,1.4459464992478075,1.4492414729235217
5,calibration,1.0,both,0.15306925297210788,0.002,1.0,180.0,180.0,1.0,1.0
5,power,-1.0,unweighted,0.17446155883249503,0.002,1.0,180.0,180.0,1.0,1.0
5,power,0.0,both,0.05093198152159939,0.998,0.0,108.6814004600855,107.15157343686434,4.888442401024724,4.803882026162898
5,power,0.25,both,0.07280190405671692,0.858,0.0,133.67682237060646,131.37639772755176,2.816137559061598,2.7983280173249936
5,power,0.5,both,0.09547484349885241,0.206,0.0,149.9327550994185,148.6015969090302,1.9637996125020387,1.9644264523676866
5,power,0.75,both,0.12415012959954029,0.002,1.0,165.45914492103114,165.1490342843907,1.4459464992478075,1.4492414729235217
5,power,1.0,both,0.17446155883249503,0.002,1.0,180.0,180.0,1.0,1.0
6,calibration,-1.0,unweighted,0.15777015317786924,0.002,1.0,180.0,180.0,1.0,1.0
6,calibration,0.0,both,0.041316233388394394,1.0,0.0,107.05421100140255,115.73554420422096,4.618353671636608,3.4858058120222597
6,calibration,0.25,both,0.05942454481385734,0.998,0.0,133.27496864641768,134.73217064573956,2.7453732560692328,2.409341241623117
6,calibration,0.5,both,0.07974267256098574,0.694,0.0,150.81709729455662,150.16441533101738,1.9354405032487227,1.8195346507988925
6,calibration,0.75,both,0.10702977023507303,0.032,1.0,166.46593189938386,165.65626782426756,1.43177790439171,1.4016901092746499
6,calibration,1.0,both,0.15777015317786924,0.002,1.0,180.0,180.0,1.0,1.0
6,power,-1.0,unweighted,0.18154173049077885,0.002,1.0,180.0,180.0,1.0,1.0
6,power,0.0,both,0.056775252442573004,0.998,0.0,107.05421100140255,115.73554420422096,4.618353671636608,3.4858058120222597
6,power,0.25,both,0.07909444535637604,0.72,0.0,133.27496864641768,134.73217064573956,2.7453732560692328,2.409341241623117
6,power,0.5,both,0.10234382227476316,0.082,0.0,150.81709729455662,150.16441533101738,1.9354405032487227,1.8195346507988925
6,power,0.75,both,0.1313380040803169,0.002,1.0,166.46593189938386,165.65626782426756,1.43177790439171,1.4016901092746499
6,power,1.0,both,0.18154173049077885,0.002,1.0,180.0,180.0,1.0,1.0
7,calibration,-1.0,unweighted,0.16053225022862372,0.002,1.0,180.0,180.0,1.0,1.0
7,calibration,0.0,both,0.03710157439838622,1.0,0.0,113.67894232262816,90.21823471919599,4.683696611880363,6.7309069947311215
7,calibration,0.25,both,0.0555157315872493,0.996,0.0,133.4813490897349,123.145806472617,2.795287949590286,3.2173052949108025
7,calibration,0.5,both,0.07633498541644267,0.788,0.0,148.7801731730806,143.35444517523203,1.9727674036834508,2.1266431810959006
7,calibration,0.75,both,0.10515255274265572,0.04,1.0,164.43693826041206,162.5570679062963,1.4577016804760987,1.5144034728349285
7,calibration,1.0,both,0.16053225022862372,0.002,1.0,180.0,180.0,1.0,1.0
7,power,-1.0,unweighted,0.181850140984606,0.002,1.0,180.0,180.0,1.0,1.0
7,power,0.0,both,0.050870337110397706,0.998,0.0,113.67894232262816,90.21823471919599,4.683696611880363,6.7309069947311215
7,power,0.25,both,0.073491951714439,0.84,0.0,133.4813490897349,123.145806472617,2.795287949590286,3.2173052949108025
7,power,0.5,both,0.09724256300068485,0.148,0.0,148.7801731730806,143.35444517523203,1.9727674036834508,2.1266431810959006
7,power,0.75,both,0.12781931836063803,0.002,1.0,164.43693826041206,162.5570679062963,1.4577016804760987,1.5144034728349285
7,power,1.0,both,0.181850140984606,0.002,1.0,180.0,180.0,1.0,1.0
8,calibration,-1.0,unweighted,0.14745605948026214,0.002,1.0,180.0,180.0,1.0,1.0
8,calibration,0.0,both,0.03993472453104155,1.0,0.0,112.06042382203145,115.21803283572271,5.1169927338546985,5.1957764296172035
8,calibration,0.25,both,0.05762028505303467,0.992,0.0,138.4766434318505,137.65307794219424,2.8149733561682164,2.8245953516387496
8,calibration,0.5,both,0.0771404003222338,0.744,0.0,154.4509129995792,153.61446967928416,1.9305015698663655,1.9365998796982338
8,calibration,0.75,both,0.10297690342643043,0.06,0.0,168.48903827916075,168.5194184636236,1.4147878263646827,1.4178058911943612
8,calibration,1.0,both,0.14745605948026214,0.002,1.0,180.0,180.0,1.0,1.0
8,power,-1.0,unweighted,0.1692479500076208,0.002,1.0,180.0,180.0,1.0,1.0
8,power,0.0,both,0.053806021708084725,0.996,0.0,112.06042382203145,115.21803283572271,5.1169927338546985,5.1957764296172035
8,power,0.25,both,0.07561180477629204,0.77,0.0,138.4766434318505,137.65307794219424,2.8149733561682164,2.8245953516387496
8,power,0.5,both,0.09793962449411453,0.114,0.0,154.4509129995792,153.61446967928416,1.9305015698663655,1.9365998796982338
8,power,0.75,both,0.12541798081914485,0.002,1.0,168.48903827916075,168.5194184636236,1.4147878263646827,1.4178058911943612
8,power,1.0,both,0.16924795000762077,0.002,1.0,180.0,180.0,1.0,1.0
9,calibration,-1.0,unweighted,0.18279328036884623,0.002,1.0,180.0,180.0,1.0,1.0
9,calibration,0.0,both,0.04454939730552686,1.0,0.0,95.07640033306146,83.06046787544204,5.770388904456357,7.464406656179941
9,calibration,0.25,both,0.06792115739247409,0.944,0.0,121.33961152069948,120.10437648496975,3.1329056094100936,3.4370391345361515
9,calibration,0.5,both,0.09102098421335011,0.324,0.0,139.76767512344898,140.32745305232874,2.142465019499569,2.229012065619513
9,calibration,0.75,both,0.12098599018262776,0.002,1.0,158.19755942927873,158.98942968049423,1.548223632885324,1.5669875681766665
9,calibration,1.0,both,0.1827932803688462,0.002,1.0,180.0,180.0,1.0,1.0
9,power,-1.0,unweighted,0.20828031550068588,0.002,1.0,180.0,180.0,1.0,1.0
9,power,0.0,both,0.06272558332039876,0.964,0.0,95.07640033306146,83.06046787544204,5.770388904456357,7.464406656179941
9,power,0.25,both,0.0919263262039062,0.324,0.0,121.33961152069948,120.10437648496975,3.1329056094100936,3.4370391345361515
9,power,0.5,both,0.11830031151562134,0.004,1.0,139.76767512344898,140.32745305232874,2.142465019499569,2.229012065619513
9,power,0.75,both,0.14968514678377337,0.002,1.0,158.19755942927873,158.98942968049423,1.548223632885324,1.5669875681766665
9,power,1.0,both,0.20828031550068588,0.002,1.0,180.0,180.0,1.0,1.0
10,calibration,-1.0,unweighted,0.1689704980185947,0.002,1.0,180.0,180.0,1.0,1.0
10,calibration,0.0,both,0.04172931243446551,1.0,0.0,99.16573018774854,111.71695023081718,5.104149830897512,4.962398003521528
10,calibration,0.25,both,0.06138033566063746,0.992,0.0,127.27588083269342,133.33741879011697,2.8967222788690994,2.848226552854759
10,calibration,0.5,both,0.08301718948394829,0.598,0.0,145.8492341075946,148.96115374193494,2.014291592252252,1.9838050456103176
10,calibration,0.75,both,0.11236204307750347,0.01,1.0,163.63207551188302,164.5802768763634,1.4746385671130635,1.4581662883460855
10,calibration,1.0,both,0.1689704980185947,0.002,1.0,180.0,180.0,1.0,1.0
10,power,-1.0,unweighted,0.19166175221002893,0.002,1.0,180.0,180.0,1.0,1.0
10,power,0.0,both,0.05773633849104895,0.996,0.0,99.16573018774854,111.71695023081718,5.104149830897512,4.962398003521528
10,power,0.25,both,0.08183024431139414,0.636,0.0,127.27588083269342,133.33741879011697,2.8967222788690994,2.848226552854759
10,power,0.5,both,0.10629083517927965,0.056,0.0,145.8492341075946,148.96115374193494,2.014291592252252,1.9838050456103176
10,power,0.75,both,0.13702418153934376,0.002,1.0,163.63207551188302,164.5802768763634,1.4746385671130635,1.4581662883460855
10,power,1.0,both,0.19166175221002893,0.002,1.0,180.0,180.0,1.0,1.0
11,calibration,-1.0,unweighted,0.14696365169181527,0.002,1.0,180.0,180.0,1.0,1.0
11,calibration,0.0,both,0.045718615199879624,1.0,0.0,126.07383432326819,119.61966482565956,3.486900399501429,3.638325218091271
11,calibration,0.25,both,0.06233707097118907,0.988,0.0,143.27380586341735,140.98662132664134,2.350868257423756,2.4085223760787295
11,calibration,0.5,both,0.08087436451065928,0.662,0.0,157.07190645516104,156.09641211954715,1.7564865594826053,1.7818044040542549
11,calibration,0.75,both,0.10515973405740428,0.038,1.0,170.10603725488448,169.5431651191922,1.3531813121254845,1.3637400873554382
