experiment,mode,lambda_value,count,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
calibration,both,0.0,100,0.03980074112256651,0.9999000000000001,0.0,103.19434226110405,103.30452596132889,5.2954736564155125,5.287237352555328
calibration,both,0.25,100,0.058509843693324175,0.98208,0.0,128.4679621608404,128.60911837103228,2.9045851644725182,2.9121504347870553
calibration,both,0.5,100,0.07917059088499528,0.68286,0.0,145.81370578879762,145.94539910454927,2.01881718651212,2.0215149825514045
calibration,both,0.75,100,0.10732707162628995,0.05087999999999998,0.66,162.72862432182043,162.86712623224986,1.4812167982758258,1.4813858539025155
calibration,both,1.0,100,0.16340453078798967,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
calibration,unweighted,-1.0,100,0.16340453078798967,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
power,both,0.0,100,0.05441234044782666,0.9859599999999997,0.0,103.19434226110405,103.30452596132889,5.2954736564155125,5.287237352555328
power,both,0.25,100,0.07750006124247513,0.7177599999999997,0.0,128.4679621608404,128.60911837103228,2.9045851644725182,2.9121504347870553
power,both,0.5,100,0.10115205646037975,0.13244,0.3,145.81370578879762,145.94539910454927,2.01881718651212,2.0215149825514045
power,both,0.75,100,0.13107579616891912,0.002440000000000002,1.0,162.72862432182043,162.86712623224986,1.4812167982758258,1.4813858539025155
power,both,1.0,100,0.18589087991540917,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
power,unweighted,-1.0,100,0.18589087991540917,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
