repeat,scenario,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0,source_only,unweighted,0.1273029340039628,0.002,1.0,180.0,180.0,1.0,1.0
0,source_only,source,0.09073199861770197,0.264,0.0,149.0663334119833,180.0,1.9351246592125373,1.0
0,source_only,target,0.1056125629684698,0.02,1.0,180.0,164.05255402893837,1.0,2.0142527372464336
0,source_only,both,0.07137896845811541,0.872,0.0,149.0663334119833,164.05255402893837,1.9351246592125373,2.0142527372464336
0,target_only,unweighted,0.15259541895290352,0.002,1.0,180.0,180.0,1.0,1.0
0,target_only,source,0.13679021751620488,0.002,1.0,165.4688904498945,180.0,1.7683842871070548,1.0
0,target_only,target,0.10259568930345486,0.06,0.0,180.0,150.56823215796948,1.0,2.0797899156386825
0,target_only,both,0.08630833264853616,0.462,0.0,165.4688904498945,150.56823215796948,1.7683842871070548,2.0797899156386825
0,both_sides,unweighted,0.17887530197378448,0.002,1.0,180.0,180.0,1.0,1.0
0,both_sides,source,0.1409228690233099,0.002,1.0,135.2419756938466,180.0,2.260283673853166,1.0
0,both_sides,target,0.12098290960323496,0.002,1.0,180.0,136.01210373598704,1.0,2.4578648188440146
0,both_sides,both,0.07942703609188989,0.69,0.0,135.2419756938466,136.01210373598704,2.260283673853166,2.4578648188440146
1,source_only,unweighted,0.11843525281969212,0.004,1.0,180.0,180.0,1.0,1.0
1,source_only,source,0.08118910462184684,0.664,0.0,154.58113992129753,180.0,1.931207101434431,1.0
1,source_only,target,0.10004101755230871,0.07,0.0,180.0,168.42257870755762,1.0,1.7395395778315799
1,source_only,both,0.06440388426725413,0.978,0.0,154.58113992129753,168.42257870755762,1.931207101434431,1.7395395778315799
1,target_only,unweighted,0.14106768499466543,0.002,1.0,180.0,180.0,1.0,1.0
1,target_only,source,0.12796424986933225,0.002,1.0,170.8999385932889,180.0,1.6790149651661288,1.0
1,target_only,target,0.10527520208908739,0.026,1.0,180.0,163.659142921492,1.0,1.7153254330603487
1,target_only,both,0.09202809463959816,0.244,0.0,170.8999385932889,163.659142921492,1.6790149651661288,1.7153254330603487
1,both_sides,unweighted,0.16046987882944674,0.002,1.0,180.0,180.0,1.0,1.0
1,both_sides,source,0.12493974480400301,0.002,1.0,141.04725163642982,180.0,2.238187653564814,1.0
1,both_sides,target,0.11011113306041331,0.012,1.0,180.0,145.53650916494553,1.0,2.1413413723613
1,both_sides,both,0.07146786568032487,0.904,0.0,141.04725163642982,145.53650916494553,2.238187653564814,2.1413413723613
2,source_only,unweighted,0.11811583123761621,0.002,1.0,180.0,180.0,1.0,1.0
2,source_only,source,0.09454393815270447,0.172,0.0,166.49865597905153,180.0,1.5610769235091206,1.0
2,source_only,target,0.1038409523007235,0.044,1.0,180.0,173.2468790744672,1.0,1.5741922500768306
2,source_only,both,0.08114282076608259,0.628,0.0,166.49865597905153,173.2468790744672,1.5610769235091206,1.5741922500768306
2,target_only,unweighted,0.1582561013946045,0.002,1.0,180.0,180.0,1.0,1.0
2,target_only,source,0.14137597445392863,0.002,1.0,166.79345561013525,180.0,1.716441790522728,1.0
2,target_only,target,0.11620987605859932,0.006,1.0,180.0,155.68181936489265,1.0,1.9129817918186807
2,target_only,both,0.0991521208495029,0.106,0.0,166.79345561013525,155.68181936489265,1.716441790522728,1.9129817918186807
2,both_sides,unweighted,0.16945988130620332,0.002,1.0,180.0,180.0,1.0,1.0
2,both_sides,source,0.13910658826192565,0.002,1.0,147.16271741007563,180.0,1.9676687080287139,1.0
2,both_sides,target,0.11776257753518478,0.01,1.0,180.0,146.09946074853136,1.0,2.1400994792400576
2,both_sides,both,0.08501684545591626,0.49,0.0,147.16271741007563,146.09946074853136,1.9676687080287139,2.1400994792400576
3,source_only,unweighted,0.09158690557841792,0.236,0.0,180.0,180.0,1.0,1.0
3,source_only,source,0.07260432488202251,0.898,0.0,170.00833044214573,180.0,1.500743931583862,1.0
3,source_only,target,0.0820509607444321,0.626,0.0,180.0,175.59290089270888,1.0,1.3945082069699049
3,source_only,both,0.0636969592573102,0.986,0.0,170.00833044214573,175.59290089270888,1.500743931583862,1.3945082069699049
3,target_only,unweighted,0.13576192463039172,0.002,1.0,180.0,180.0,1.0,1.0
3,target_only,source,0.12578231286741282,0.002,1.0,173.35841444506215,180.0,1.5292772217151207,1.0
3,target_only,target,0.10318516102346892,0.056,0.0,180.0,165.45156294039234,1.0,1.5988542909530978
3,target_only,both,0.09321179995738357,0.262,0.0,173.35841444506215,165.45156294039234,1.5292772217151207,1.5988542909530978
3,both_sides,unweighted,0.1588966249428441,0.002,1.0,180.0,180.0,1.0,1.0
3,both_sides,source,0.13896541264028747,0.002,1.0,155.9056182957273,180.0,1.831128886560176,1.0
3,both_sides,target,0.11517944694321286,0.002,1.0,180.0,155.67412739859958,1.0,1.814111649652928
3,both_sides,both,0.09406560392782948,0.242,0.0,155.9056182957273,155.67412739859958,1.831128886560176,1.814111649652928
4,source_only,unweighted,0.09261592078189301,0.226,0.0,180.0,180.0,1.0,1.0
4,source_only,source,0.07046887281795682,0.912,0.0,167.3421215403331,180.0,1.5185587575402548,1.0
4,source_only,target,0.08273757260786319,0.564,0.0,180.0,175.34270829661796,1.0,1.412461529352297
4,source_only,both,0.061589365964506454,0.988,0.0,167.3421215403331,175.34270829661796,1.5185587575402548,1.412461529352297
4,target_only,unweighted,0.12077901044048164,0.002,1.0,180.0,180.0,1.0,1.0
4,target_only,source,0.11285449183240778,0.01,1.0,174.53144369017343,180.0,1.4164214918552387,1.0
4,target_only,target,0.09071151686613996,0.284,0.0,180.0,167.6942450375896,1.0,1.5362653523676428
4,target_only,both,0.0828011683983904,0.548,0.0,174.53144369017343,167.6942450375896,1.4164214918552387,1.5362653523676428
4,both_sides,unweighted,0.15058214830056393,0.002,1.0,180.0,180.0,1.0,1.0
4,both_sides,source,0.12284509530574783,0.002,1.0,148.66254394154677,180.0,1.902662534747034,1.0
4,both_sides,target,0.10231094063507357,0.052,0.0,180.0,150.2742503235154,1.0,1.903346402339528
4,both_sides,both,0.07227765222830014,0.872,0.0,148.66254394154677,150.2742503235154,1.902662534747034,1.903346402339528
5,source_only,unweighted,0.09971356119493979,0.078,0.0,180.0,180.0,1.0,1.0
5,source_only,source,0.07590257417150024,0.856,0.0,166.95592699329734,180.0,1.5265389943888352,1.0
5,source_only,target,0.0900963669253054,0.31,0.0,180.0,174.80268057397842,1.0,1.419969325844719
5,source_only,both,0.0670801577237866,0.978,0.0,166.95592699329734,174.80268057397842,1.5265389943888352,1.419969325844719
5,target_only,unweighted,0.11420113740283494,0.006,1.0,180.0,180.0,1.0,1.0
5,target_only,source,0.10711358654033974,0.026,1.0,176.5319126953543,180.0,1.32160221455925,1.0
5,target_only,target,0.091117239527853,0.304,0.0,180.0,172.30577772887645,1.0,1.3937341136610129
