scenario,mode,count,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
both_sides,both,100,0.08009948988924444,0.6550999999999998,0.0,147.94681021002395,148.38001147694249,1.9762322003337878,1.9806488643403442
both_sides,source,100,0.13185923723950882,0.003420000000000002,1.0,147.94681021002395,180.0,1.9762322003337878,1.0
both_sides,target,100,0.11102902015797395,0.032479999999999946,0.8,180.0,148.38001147694249,1.0,1.9806488643403442
both_sides,unweighted,100,0.16047567403025456,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
source_only,both,100,0.0698629228854727,0.8937400000000004,0.0,162.46132998428956,172.05237818810136,1.6599476260984922,1.5669986038484693
source_only,source,100,0.08349796683305749,0.5441400000000001,0.01,162.46132998428956,180.0,1.6599476260984922,1.0
source_only,target,100,0.0945568409698801,0.2497000000000001,0.18,180.0,172.05237818810136,1.0,1.5669986038484693
source_only,unweighted,100,0.10922317419219629,0.05727999999999993,0.7,180.0,180.0,1.0,1.0
target_only,both,100,0.09064293378406489,0.32382000000000005,0.01,172.04739931488777,163.17971882571996,1.5537247290423812,1.652272703849048
target_only,source,100,0.12679393155278224,0.0037200000000000015,0.99,172.04739931488777,180.0,1.5537247290423812,1.0
target_only,target,100,0.101572995467129,0.09664000000000002,0.39,180.0,163.17971882571996,1.0,1.652272703849048
target_only,unweighted,100,0.13761122476566062,0.0021600000000000018,1.0,180.0,180.0,1.0,1.0
