run,off_support_fraction,effect,p_unweighted,s_unweighted,auc_logreg,p_logreg/source/0.25,ds_logreg/source/0.25,ess_src_logreg/source/0.25,ess_tgt_logreg/source/0.25,p_logreg/source/0.5,ds_logreg/source/0.5,ess_src_logreg/source/0.5,ess_tgt_logreg/source/0.5,p_logreg/source/0.75,ds_logreg/source/0.75,ess_src_logreg/source/0.75,ess_tgt_logreg/source/0.75,p_logreg/target/0.25,ds_logreg/target/0.25,ess_src_logreg/target/0.25,ess_tgt_logreg/target/0.25,p_logreg/target/0.5,ds_logreg/target/0.5,ess_src_logreg/target/0.5,ess_tgt_logreg/target/0.5,p_logreg/target/0.75,ds_logreg/target/0.75,ess_src_logreg/target/0.75,ess_tgt_logreg/target/0.75,p_logreg/both/0.25,ds_logreg/both/0.25,ess_src_logreg/both/0.25,ess_tgt_logreg/both/0.25,p_logreg/both/0.5,ds_logreg/both/0.5,ess_src_logreg/both/0.5,ess_tgt_logreg/both/0.5,p_logreg/both/0.75,ds_logreg/both/0.75,ess_src_logreg/both/0.75,ess_tgt_logreg/both/0.75,auc_rf_cal,p_rf_cal/source/0.25,ds_rf_cal/source/0.25,ess_src_rf_cal/source/0.25,ess_tgt_rf_cal/source/0.25,p_rf_cal/source/0.5,ds_rf_cal/source/0.5,ess_src_rf_cal/source/0.5,ess_tgt_rf_cal/source/0.5,p_rf_cal/source/0.75,ds_rf_cal/source/0.75,ess_src_rf_cal/source/0.75,ess_tgt_rf_cal/source/0.75,p_rf_cal/target/0.25,ds_rf_cal/target/0.25,ess_src_rf_cal/target/0.25,ess_tgt_rf_cal/target/0.25,p_rf_cal/target/0.5,ds_rf_cal/target/0.5,ess_src_rf_cal/target/0.5,ess_tgt_rf_cal/target/0.5,p_rf_cal/target/0.75,ds_rf_cal/target/0.75,ess_src_rf_cal/target/0.75,ess_tgt_rf_cal/target/0.75,p_rf_cal/both/0.25,ds_rf_cal/both/0.25,ess_src_rf_cal/both/0.25,ess_tgt_rf_cal/both/0.25,p_rf_cal/both/0.5,ds_rf_cal/both/0.5,ess_src_rf_cal/both/0.5,ess_tgt_rf_cal/both/0.5,p_rf_cal/both/0.75,ds_rf_cal/both/0.75,ess_src_rf_cal/both/0.75,ess_tgt_rf_cal/both/0.75,auc_hgb_cal,p_hgb_cal/source/0.25,ds_hgb_cal/source/0.25,ess_src_hgb_cal/source/0.25,ess_tgt_hgb_cal/source/0.25,p_hgb_cal/source/0.5,ds_hgb_cal/source/0.5,ess_src_hgb_cal/source/0.5,ess_tgt_hgb_cal/source/0.5,p_hgb_cal/source/0.75,ds_hgb_cal/source/0.75,ess_src_hgb_cal/source/0.75,ess_tgt_hgb_cal/source/0.75,p_hgb_cal/target/0.25,ds_hgb_cal/target/0.25,ess_src_hgb_cal/target/0.25,ess_tgt_hgb_cal/target/0.25,p_hgb_cal/target/0.5,ds_hgb_cal/target/0.5,ess_src_hgb_cal/target/0.5,ess_tgt_hgb_cal/target/0.5,p_hgb_cal/target/0.75,ds_hgb_cal/target/0.75,ess_src_hgb_cal/target/0.75,ess_tgt_hgb_cal/target/0.75,p_hgb_cal/both/0.25,ds_hgb_cal/both/0.25,ess_src_hgb_cal/both/0.25,ess_tgt_hgb_cal/both/0.25,p_hgb_cal/both/0.5,ds_hgb_cal/both/0.5,ess_src_hgb_cal/both/0.5,ess_tgt_hgb_cal/both/0.5,p_hgb_cal/both/0.75,ds_hgb_cal/both/0.75,ess_src_hgb_cal/both/0.75,ess_tgt_hgb_cal/both/0.75
0,0.4,0.0,0.001,9.965784284662089,0.833641975308642,0.001,0.0,93.03353220378564,180.0,0.001,0.0,114.0949478277064,180.0,0.001,0.0,140.35181064907562,180.0,0.001,0.0,180.0,93.1645105470242,0.001,0.0,180.0,114.5102306603529,0.001,0.0,180.0,138.79237233810906,0.966,-9.915879378835774,93.03353220378564,93.1645105470242,0.368,-8.523561956057012,114.0949478277064,114.5102306603529,0.001,0.0,140.35181064907562,138.79237233810906,0.8187345679012346,0.001,0.0,116.16931076056264,180.0,0.001,0.0,143.265133125808,180.0,0.001,0.0,167.39493615989358,180.0,0.001,0.0,180.0,118.0667289568563,0.001,0.0,180.0,143.45183685172717,0.001,0.0,180.0,166.89702219867434,0.001,0.0,116.16931076056264,118.0667289568563,0.001,0.0,143.265133125808,143.45183685172717,0.001,0.0,167.39493615989358,166.89702219867434,0.8181790123456791,0.001,0.0,125.1811357379291,180.0,0.001,0.0,135.48355420361833,180.0,0.001,0.0,149.84678901473123,180.0,0.001,0.0,180.0,112.17941528538948,0.001,0.0,180.0,123.77792683721856,0.001,0.0,180.0,136.1504866482331,0.001,0.0,125.1811357379291,112.17941528538948,0.001,0.0,135.48355420361833,123.77792683721856,0.001,0.0,149.84678901473123,136.1504866482331
1,0.4,0.0,0.001,9.965784284662089,0.8492283950617284,0.001,0.0,86.02725610756274,180.0,0.001,0.0,107.43559225977668,180.0,0.001,0.0,133.53277705126095,180.0,0.001,0.0,180.0,87.5526934633592,0.001,0.0,180.0,110.94444204168866,0.001,0.0,180.0,136.1642684048941,0.991,-9.952741247186488,86.02725610756274,87.5526934633592,0.61,-9.252665432450248,107.43559225977668,110.94444204168866,0.001,0.0,133.53277705126095,136.1642684048941,0.802361111111111,0.001,0.0,116.92394110646134,180.0,0.001,0.0,143.24951552885605,180.0,0.001,0.0,167.43772055035555,180.0,0.001,0.0,180.0,122.98718928413936,0.001,0.0,180.0,147.97816655454022,0.001,0.0,180.0,169.20922441398386,0.001,0.0,116.92394110646134,122.98718928413936,0.001,0.0,143.24951552885605,147.97816655454022,0.001,0.0,167.43772055035555,169.20922441398386,0.8115277777777778,0.001,0.0,107.3402020897129,180.0,0.001,0.0,125.7196961633792,180.0,0.001,0.0,145.73999338154033,180.0,0.001,0.0,180.0,112.35002191959046,0.001,0.0,180.0,130.3445688536184,0.001,0.0,180.0,148.34596407397822,0.081,-6.339850002884624,107.3402020897129,112.35002191959046,0.001,0.0,125.7196961633792,130.3445688536184,0.001,0.0,145.73999338154033,148.34596407397822
2,0.4,0.0,0.001,9.965784284662089,0.7773148148148148,0.001,0.0,107.9939245038203,180.0,0.001,0.0,127.15035649399816,180.0,0.001,0.0,149.85629272005698,180.0,0.058,-5.857980995127572,180.0,111.70875843016154,0.003,-1.584962500721156,180.0,130.19284543063694,0.001,0.0,180.0,151.20039158436833,0.997,-9.961449694398196,107.9939245038203,111.70875843016154,0.894,-9.804131021183318,127.15035649399816,130.19284543063694,0.03,-4.906890595608519,149.85629272005698,151.20039158436833,0.7495987654320986,0.001,0.0,133.45827434388127,180.0,0.001,0.0,155.05837994602493,180.0,0.001,0.0,172.15235777751963,180.0,0.001,0.0,180.0,133.11210271562746,0.001,0.0,180.0,154.2996890258701,0.001,0.0,180.0,171.70375458079155,0.001,0.0,133.45827434388127,133.11210271562746,0.001,0.0,155.05837994602493,154.2996890258701,0.001,0.0,172.15235777751963,171.70375458079155,0.8007098765432099,0.001,0.0,114.21802261978196,180.0,0.001,0.0,125.11546632070748,180.0,0.001,0.0,137.7853849082219,180.0,0.001,0.0,180.0,129.46527017150729,0.001,0.0,180.0,140.30659743645384,0.001,0.0,180.0,153.5638609246275,0.191,-7.577428828035749,114.21802261978196,129.46527017150729,0.057,-5.832890014164741,125.11546632070748,140.30659743645384,0.004,-2.0,137.7853849082219,153.5638609246275
3,0.4,0.0,0.001,9.965784284662089,0.7901234567901234,0.001,0.0,108.76982861911657,180.0,0.001,0.0,129.92845467193888,180.0,0.001,0.0,151.31011797539438,180.0,0.062,-5.954196310386875,180.0,102.51320325858966,0.001,0.0,180.0,125.31311916942352,0.001,0.0,180.0,150.45131377131133,0.992,-9.954196310386877,108.76982861911657,102.51320325858966,0.694,-9.43879185257826,129.92845467193888,125.31311916942352,0.001,0.0,151.31011797539438,150.45131377131133,0.7909876543209876,0.001,0.0,120.9578190025867,180.0,0.001,0.0,146.8518840840265,180.0,0.001,0.0,168.93411128117805,180.0,0.001,0.0,180.0,120.2014349773378,0.001,0.0,180.0,145.69244762205534,0.001,0.0,180.0,168.21144349481668,0.001,0.0,120.9578190025867,120.2014349773378,0.001,0.0,146.8518840840265,145.69244762205534,0.001,0.0,168.93411128117805,168.21144349481668,0.7866975308641975,0.001,0.0,125.02376901867063,180.0,0.001,0.0,145.8800078063939,180.0,0.001,0.0,161.54759188771916,180.0,0.001,0.0,180.0,119.1539160110684,0.001,0.0,180.0,139.0310297178537,0.001,0.0,180.0,157.77963762110932,0.227,-7.826548487290915,125.02376901867063,119.1539160110684,0.005,-2.321928094887362,145.8800078063939,139.0310297178537,0.001,0.0,161.54759188771916,157.77963762110932
4,0.4,0.0,0.001,9.965784284662089,0.8094444444444444,0.001,0.0,101.58410782988572,180.0,0.001,0.0,121.3953172550062,180.0,0.001,0.0,144.8625757630198,180.0,0.004,-2.0,180.0,97.36408761258656,0.001,0.0,180.0,119.3963378462737,0.001,0.0,180.0,142.48294985093054,0.986,-9.945443836377912,101.58410782988572,97.36408761258656,0.559,-9.12670447284319,121.3953172550062,119.3963378462737,0.004,-2.0,144.8625757630198,142.48294985093054,0.7929629629629631,0.001,0.0,131.54110238423377,180.0,0.001,0.0,152.8009199979207,180.0,0.001,0.0,170.94466794232565,180.0,0.001,0.0,180.0,125.44267210168032,0.001,0.0,180.0,150.14011715454737,0.001,0.0,180.0,170.56747863090115,0.001,0.0,131.54110238423377,125.44267210168032,0.001,0.0,152.8009199979207,150.14011715454737,0.001,0.0,170.94466794232565,170.56747863090115,0.8039043209876544,0.001,0.0,121.250684988903,180.0,0.001,0.0,135.68832710492583,180.0,0.001,0.0,147.82540793594765,180.0,0.001,0.0,180.0,118.48723790573872,0.001,0.0,180.0,135.36048964430503,0.001,0.0,180.0,153.09971052093834,0.045,-5.491853096329675,121.250684988903,118.48723790573872,0.001,0.0,135.68832710492583,135.36048964430503,0.001,0.0,147.82540793594765,153.09971052093834
5,0.4,0.0,0.001,9.965784284662089,0.8113580246913581,0.001,0.0,101.30990105965826,180.0,0.001,0.0,121.43685413035423,180.0,0.001,0.0,144.15367210757574,180.0,0.015,-3.9068905956085183,180.0,98.28059139581084,0.001,0.0,180.0,119.71246070529412,0.001,0.0,180.0,142.7122871213356,0.998,-9.96289600533726,101.30990105965826,98.28059139581084,0.766,-9.581200581924955,121.43685413035423,119.71246070529412,0.004,-2.0,144.15367210757574,142.7122871213356,0.7551543209876542,0.001,0.0,143.05613807383858,180.0,0.001,0.0,160.9305924351916,180.0,0.001,0.0,174.26395340718753,180.0,0.001,0.0,180.0,140.50055350812642,0.001,0.0,180.0,159.43537599198623,0.001,0.0,180.0,173.8434345188698,0.001,0.0,143.05613807383858,140.50055350812642,0.001,0.0,160.9305924351916,159.43537599198623,0.001,0.0,174.26395340718753,173.8434345188698,0.782854938271605,0.001,0.0,136.34933264202866,180.0,0.001,0.0,146.48946766170627,180.0,0.001,0.0,159.7761121296459,180.0,0.001,0.0,180.0,117.91257254256128,0.001,0.0,180.0,129.33794374345047,0.001,0.0,180.0,141.98417182262216,0.039,-5.285402218862249,136.34933264202866,117.91257254256128,0.005,-2.321928094887362,146.48946766170627,129.33794374345047,0.001,0.0,159.7761121296459,141.98417182262216
6,0.4,0.0,0.001,9.965784284662089,0.8225617283950618,0.001,0.0,93.23853357275368,180.0,0.001,0.0,116.42936897728885,180.0,0.001,0.0,140.96994869418424,180.0,0.006,-2.584962500721156,180.0,99.4785013735967,0.001,0.0,180.0,121.65663930197054,0.001,0.0,180.0,145.5002904089471,1.0,-9.965784284662089,93.23853357275368,99.4785013735967,0.89,-9.79766152585376,116.42936897728885,121.65663930197054,0.024,-4.584962500721156,140.96994869418424,145.5002904089471,0.7708487654320988,0.001,0.0,126.82962548400408,180.0,0.001,0.0,151.18196754917437,180.0,0.001,0.0,171.0492636174463,180.0,0.001,0.0,180.0,131.29171775024565,0.001,0.0,180.0,153.01440262242008,0.001,0.0,180.0,171.10706208205937,0.001,0.0,126.82962548400408,131.29171775024565,0.001,0.0,151.18196754917437,153.01440262242008,0.001,0.0,171.0492636174463,171.10706208205937,0.7908641975308642,0.001,0.0,117.6290336319914,180.0,0.001,0.0,131.0163090242126,180.0,0.001,0.0,145.74145323760968,180.0,0.001,0.0,180.0,128.71096799644002,0.001,0.0,180.0,144.62712203120546,0.001,0.0,180.0,158.391139139979,0.138,-7.108524456778169,117.6290336319914,128.71096799644002,0.003,-1.584962500721156,131.0163090242126,144.62712203120546,0.001,0.0,145.74145323760968,158.391139139979
7,0.4,0.0,0.001,9.965784284662089,0.8018827160493827,0.001,0.0,102.44367734383786,180.0,0.001,0.0,124.62456087028134,180.0,0.001,0.0,148.09470774732063,180.0,0.016,-4.0,180.0,104.5130107451224,0.001,0.0,180.0,123.97600700068718,0.001,0.0,180.0,146.48466251320653,0.995,-9.958552715431011,102.44367734383786,104.5130107451224,0.7,-9.451211111832327,124.62456087028134,123.97600700068718,0.004,-2.0,148.09470774732063,146.48466251320653,0.7467746913580247,0.001,0.0,138.1402281589729,180.0,0.001,0.0,157.94351527819364,180.0,0.001,0.0,173.2034388910544,180.0,0.001,0.0,180.0,137.98686815866893,0.001,0.0,180.0,157.6228926584709,0.001,0.0,180.0,173.00591026998129,0.001,0.0,138.1402281589729,137.98686815866893,0.001,0.0,157.94351527819364,157.6228926584709,0.001,0.0,173.2034388910544,173.00591026998129,0.7576851851851851,0.001,0.0,124.71484181033216,180.0,0.001,0.0,133.06601787661614,180.0,0.001,0.0,144.75397966898274,180.0,0.001,0.0,180.0,135.9472644633362,0.001,0.0,180.0,144.81077666060247,0.001,0.0,180.0,156.6006208872709,0.013,-3.700439718141092,124.71484181033216,135.9472644633362,0.003,-1.584962500721156,133.06601787661614,144.81077666060247,0.001,0.0,144.75397966898274,156.6006208872709
8,0.4,0.0,0.001,9.965784284662089,0.789537037037037,0.001,0.0,107.5822397206841,180.0,0.001,0.0,126.95159095644829,180.0,0.001,0.0,149.04583678647,180.0,0.007,-2.8073549220576037,180.0,106.64522245590196,0.001,0.0,180.0,128.04606771027565,0.001,0.0,180.0,150.17910036971696,0.998,-9.96289600533726,107.5822397206841,106.64522245590196,0.704,-9.459431618637296,126.95159095644829,128.04606771027565,0.002,-1.0,149.04583678647,150.17910036971696,0.7424845679012346,0.001,0.0,137.5669383136973,180.0,0.001,0.0,157.51219304007947,180.0,0.001,0.0,173.03345381661134,180.0,0.001,0.0,180.0,134.39893833244255,0.001,0.0,180.0,155.63553218034605,0.001,0.0,180.0,172.45512062770982,0.001,0.0,137.5669383136973,134.39893833244255,0.001,0.0,157.51219304007947,155.63553218034605,0.001,0.0,173.03345381661134,172.45512062770982,0.7809413580246913,0.001,0.0,132.7928996072244,180.0,0.001,0.0,140.0798166283844,180.0,0.001,0.0,150.6256454334953,180.0,0.001,0.0,180.0,124.68625940534427,0.001,0.0,180.0,133.72201164713806,0.001,0.0,180.0,145.33583786177545,0.103,-6.6865005271832185,132.7928996072244,124.68625940534427,0.013,-3.700439718141092,140.0798166283844,133.72201164713806,0.001,0.0,150.6256454334953,145.33583786177545
9,0.4,0.0,0.001,9.965784284662089,0.8509259259259259,0.001,0.0,84.7164551037267,180.0,0.001,0.0,107.64139554875794,180.0,0.001,0.0,133.1970742926323,180.0,0.001,0.0,180.0,86.76458825351932,0.001,0.0,180.0,107.49825325354291,0.001,0.0,180.0,133.99560467470684,0.999,-9.964340867792416,84.7164551037267,86.76458825351932,0.854,-9.73809225962049,107.64139554875794,107.49825325354291,0.006,-2.584962500721156,133.1970742926323,133.99560467470684,0.8553858024691359,0.001,0.0,102.43349739477875,180.0,0.001,0.0,132.72135308429748,180.0,0.001,0.0,162.6995061326988,180.0,0.001,0.0,180.0,105.74370155149896,0.001,0.0,180.0,135.94286219851378,0.001,0.0,180.0,164.07715606315918,0.002,-1.0,102.43349739477875,105.74370155149896,0.001,0.0,132.72135308429748,135.94286219851378,0.001,0.0,162.6995061326988,164.07715606315918,0.8731944444444446,0.001,0.0,101.84521891815272,180.0,0.001,0.0,116.47407806958527,180.0,0.001,0.0,130.3481064086644,180.0,0.001,0.0,180.0,116.48057925480134,0.001,0.0,180.0,133.4468218684226,0.001,0.0,180.0,152.3471446601337,0.06,-5.906890595608519,101.84521891815272,116.48057925480134,0.003,-1.584962500721156,116.47407806958527,133.4468218684226,0.001,0.0,130.3481064086644,152.3471446601337
