repeat,effect_size,severity,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0,0.0,0.25,unweighted,0.14355035436671237,0.002,1.0,180.0,180.0,1.0,1.0
0,0.0,0.25,source,0.11539785722442283,0.002,1.0,149.28943944914212,180.0,1.9346634250197123,1.0
0,0.0,0.25,target,0.09820947377023673,0.14,0.0,180.0,152.64782003518414,1.0,1.8264684114744818
0,0.0,0.25,both,0.06889619585549828,0.934,0.0,149.28943944914212,152.64782003518414,1.9346634250197123,1.8264684114744818
0,0.0,0.25,crump,0.14195361532164905,0.002,1.0,179.0,179.0,1.0,1.0
0,0.15,0.25,unweighted,0.15205317310623379,0.002,1.0,180.0,180.0,1.0,1.0
0,0.15,0.25,source,0.12281730585017639,0.002,1.0,149.28943944914212,180.0,1.9346634250197123,1.0
0,0.15,0.25,target,0.10726093019134987,0.024,1.0,180.0,152.64782003518414,1.0,1.8264684114744818
0,0.15,0.25,both,0.07634146479999311,0.79,0.0,149.28943944914212,152.64782003518414,1.9346634250197123,1.8264684114744818
0,0.15,0.25,crump,0.15049891684912955,0.002,1.0,179.0,179.0,1.0,1.0
0,0.3,0.25,unweighted,0.16080545076969974,0.002,1.0,180.0,180.0,1.0,1.0
0,0.3,0.25,source,0.13051244646867824,0.002,1.0,149.28943944914212,180.0,1.9346634250197123,1.0
0,0.3,0.25,target,0.11671411757934391,0.004,1.0,180.0,152.64782003518414,1.0,1.8264684114744818
0,0.3,0.25,both,0.08421823038285581,0.542,0.0,149.28943944914212,152.64782003518414,1.9346634250197123,1.8264684114744818
0,0.3,0.25,crump,0.1592770744257273,0.002,1.0,179.0,179.0,1.0,1.0
0,0.45,0.25,unweighted,0.1697896900243865,0.002,1.0,180.0,180.0,1.0,1.0
0,0.45,0.25,source,0.13874064477342926,0.002,1.0,149.28943944914212,180.0,1.9346634250197123,1.0
0,0.45,0.25,target,0.12659259997408656,0.002,1.0,180.0,152.64782003518414,1.0,1.8264684114744818
0,0.45,0.25,both,0.09275505958006741,0.278,0.0,149.28943944914212,152.64782003518414,1.9346634250197123,1.8264684114744818
0,0.45,0.25,crump,0.16830557738599952,0.002,1.0,179.0,179.0,1.0,1.0
0,0.6,0.25,unweighted,0.17880221764974852,0.002,1.0,180.0,180.0,1.0,1.0
0,0.6,0.25,source,0.14715046451001965,0.002,1.0,149.28943944914212,180.0,1.9346634250197123,1.0
0,0.6,0.25,target,0.13668796593836047,0.002,1.0,180.0,152.64782003518414,1.0,1.8264684114744818
0,0.6,0.25,both,0.10169083088297648,0.078,0.0,149.28943944914212,152.64782003518414,1.9346634250197123,1.8264684114744818
0,0.6,0.25,crump,0.17736103953939564,0.002,1.0,179.0,179.0,1.0,1.0
1,0.0,0.25,unweighted,0.17441566167504954,0.002,1.0,180.0,180.0,1.0,1.0
1,0.0,0.25,source,0.14642247957696009,0.002,1.0,141.7644162246427,180.0,2.1827815267507042,1.0
1,0.0,0.25,target,0.11129751307140714,0.006,1.0,180.0,136.4392248291213,1.0,2.262574102169735
1,0.0,0.25,both,0.08011313212317415,0.668,0.0,141.7644162246427,136.4392248291213,2.1827815267507042,2.262574102169735
1,0.0,0.25,crump,0.14646793843082945,0.002,1.0,164.0,159.0,1.0,1.0
1,0.15,0.25,unweighted,0.1825578894223442,0.002,1.0,180.0,180.0,1.0,1.0
1,0.15,0.25,source,0.15391717080333459,0.002,1.0,141.7644162246427,180.0,2.1827815267507042,1.0
1,0.15,0.25,target,0.12055329542290957,0.002,1.0,180.0,136.4392248291213,1.0,2.262574102169735
1,0.15,0.25,both,0.08797994155646469,0.378,0.0,141.7644162246427,136.4392248291213,2.1827815267507042,2.262574102169735
1,0.15,0.25,crump,0.15566246906835912,0.002,1.0,164.0,159.0,1.0,1.0
1,0.3,0.25,unweighted,0.19013405445054107,0.002,1.0,180.0,180.0,1.0,1.0
1,0.3,0.25,source,0.16071511675618383,0.002,1.0,141.7644162246427,180.0,2.1827815267507042,1.0
1,0.3,0.25,target,0.1296410152115851,0.002,1.0,180.0,136.4392248291213,1.0,2.262574102169735
1,0.3,0.25,both,0.09552482796014544,0.198,0.0,141.7644162246427,136.4392248291213,2.1827815267507042,2.262574102169735
1,0.3,0.25,crump,0.16417416265902474,0.002,1.0,164.0,159.0,1.0,1.0
1,0.45,0.25,unweighted,0.1989322654702027,0.002,1.0,180.0,180.0,1.0,1.0
