effect_size,mode,count,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0.0,both,100,0.07959835133509108,0.6736,0.01,146.2693022920136,146.06275092299865,2.0223026031752727,2.0302993990394236
0.0,crump,100,0.15383599214822535,0.0020000000000000013,1.0,173.3,173.17,1.0,1.0
0.0,source,100,0.13386497203317935,0.002580000000000001,1.0,146.2693022920136,180.0,2.0223026031752727,1.0
0.0,target,100,0.11202496064032934,0.023959999999999985,0.86,180.0,146.06275092299865,1.0,2.0302993990394236
0.0,unweighted,100,0.16372910038484986,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
0.15,both,100,0.08733618402824064,0.4441800000000001,0.01,146.2693022920136,146.06275092299865,2.0223026031752727,2.0302993990394236
0.15,crump,100,0.16231529358274288,0.0020000000000000013,1.0,173.3,173.17,1.0,1.0
0.15,source,100,0.1411263371953724,0.0020600000000000015,1.0,146.2693022920136,180.0,2.0223026031752727,1.0
0.15,target,100,0.12127810899862577,0.006260000000000003,0.99,180.0,146.06275092299865,1.0,2.0302993990394236
0.15,unweighted,100,0.17189090572130777,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
0.3,both,100,0.09574915708891936,0.22460000000000005,0.14,146.2693022920136,146.06275092299865,2.0223026031752727,2.0302993990394236
0.3,crump,100,0.1711808613472677,0.0020000000000000013,1.0,173.3,173.17,1.0,1.0
0.3,source,100,0.14884949410990347,0.0020000000000000013,1.0,146.2693022920136,180.0,2.0223026031752727,1.0
0.3,target,100,0.1311254644775323,0.0027000000000000014,1.0,180.0,146.06275092299865,1.0,2.0302993990394236
0.3,unweighted,100,0.18042968479461974,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
0.45,both,100,0.10479322920301064,0.08657999999999996,0.49,146.2693022920136,146.06275092299865,2.0223026031752727,2.0302993990394236
0.45,crump,100,0.18026308933475968,0.0020000000000000013,1.0,173.3,173.17,1.0,1.0
0.45,source,100,0.15700427313546944,0.0020000000000000013,1.0,146.2693022920136,180.0,2.0223026031752727,1.0
0.45,target,100,0.14131973484604415,0.0020800000000000016,1.0,180.0,146.06275092299865,1.0,2.0302993990394236
0.45,unweighted,100,0.18914379007582677,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
0.6,both,100,0.11452225152244805,0.024759999999999987,0.84,146.2693022920136,146.06275092299865,2.0223026031752727,2.0302993990394236
0.6,crump,100,0.18968376432455247,0.0020000000000000013,1.0,173.3,173.17,1.0,1.0
0.6,source,100,0.1656388488932942,0.0020000000000000013,1.0,146.2693022920136,180.0,2.0223026031752727,1.0
0.6,target,100,0.15201035487915018,0.0020000000000000013,1.0,180.0,146.06275092299865,1.0,2.0302993990394236
0.6,unweighted,100,0.19817160456675809,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
