task,task_label,task_short_label,task_domain,workflow,direction,train_size,source_size,target_size,source_mean,target_mean,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,unweighted,0.22023725276042527,0.0001,1.0,1536.0,2776.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,source,0.1156905639299635,0.0001,1.0,310.40113473736886,2775.9999999999995,6.069889192757845,0.9999999999999999
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,target,0.16271404242749543,0.0001,1.0,1536.0,337.4992182057786,1.0,12.349055327509673
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,both,0.06699155329955811,0.9919,0.0,310.40113473736886,337.4992182057786,6.069889192757845,12.349055327509673
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,crump,0.0992805945945029,0.0476,1.0,228.0,269.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,risk,higher,6147,1536,2776,0.43636626327114997,0.8493233843577782,overlap,0.10784403260211481,0.0016,1.0,295.81825686945945,396.71346344712947,7.795149565100909,10.639728932249326
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,unweighted,0.038124083334174295,1.0,0.0,1536.0,2776.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,source,0.04977844227136034,1.0,0.0,310.40113473736886,2775.9999999999995,6.069889192757845,0.9999999999999999
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,target,0.0878088004564581,0.3152,0.0,1536.0,337.4992182057786,1.0,12.349055327509673
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,both,0.10244282333785813,0.0216,1.0,310.40113473736886,337.4992182057786,6.069889192757845,12.349055327509673
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,crump,0.07598827949349013,0.8385,0.0,228.0,269.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,confidence,lower,6147,1536,2776,3.493420440542786,5.157124863220193,overlap,0.06942645265133622,0.9784,0.0,295.81825686945945,396.71346344712947,7.795149565100909,10.639728932249326
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,unweighted,0.07302348155405841,0.9999,0.0,1536.0,2776.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,source,0.0708979708795269,0.9997,0.0,310.40113473736886,2775.9999999999995,6.069889192757845,0.9999999999999999
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,target,0.07267832086964794,0.958,0.0,1536.0,337.4992182057786,1.0,12.349055327509673
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,both,0.07266158740561378,0.9409,0.0,310.40113473736886,337.4992182057786,6.069889192757845,12.349055327509673
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,crump,0.0631411784023086,0.9956,0.0,228.0,269.0,1.0,1.0
heloc,FICO HELOC,HELOC,credit risk,error,higher,6147,1536,2776,0.22436832808920457,0.2034034911233061,overlap,0.06373483954413312,0.9984,0.0,295.81825686945945,396.71346344712947,7.795149565100909,10.639728932249326
diabetes_readmission,Hospital readmission,Readmission,healthcare,risk,higher,26583,6645,4000,0.08399697453081895,0.0875718810940553,unweighted,0.09270303340021888,0.0001,1.0,6645.0,4000.0,1.0,1.0
diabetes_readmission,Hospital readmission,Readmission,healthcare,risk,higher,26583,6645,4000,0.08399697453081895,0.0875718810940553,source,0.08148344218399065,0.6766,0.0,792.4296265070071,4000.0,10.573981869237253,1.0
diabetes_readmission,Hospital readmission,Readmission,healthcare,risk,higher,26583,6645,4000,0.08399697453081895,0.0875718810940553,target,0.0930246237706775,0.0032,1.0,6645.0,641.1010290437399,1.0,10.50202378248146
diabetes_readmission,Hospital readmission,Readmission,healthcare,risk,higher,26583,6645,4000,0.08399697453081895,0.0875718810940553,both,0.08260427316406233,0.5812,0.0,792.4296265070071,641.1010290437399,10.573981869237253,10.50202378248146
diabetes_readmission,Hospital readmission,Readmission,healthcare,risk,higher,26583,6645,4000,0.08399697453081895,0.0875718810940553,crump,0.08657234626793367,0.3128,0.0,445.0,755.0,1.0,1.0
diabetes_readmission,Hospital readmission,Readmission,healthcare,risk,higher,26583,6645,4000,0.08399697453081895,0.0875718810940553,overlap,0.08429702523580165,0.4436,0.0,824.8867645249373,1470.1451473520954,14.339587025522667,5.093127249649128
diabetes_readmission,Hospital readmission,Readmission,healthcare,confidence,lower,26583,6645,4000,5.095720940503651,4.991829302838422,unweighted,0.09271207935937836,0.0001,1.0,6645.0,4000.0,1.0,1.0
