repeat,overlap_severity,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0,0.0,unweighted,0.07248616921963116,0.88,0.0,180.0,180.0,1.0,1.0
0,0.0,source,0.06865563417223061,0.955,0.0,179.2010903219415,180.0,1.2103810044472798,1.0
0,0.0,target,0.0687502175797796,0.95,0.0,180.0,179.29220217393146,1.0,1.1501932134801227
0,0.0,both,0.06502899580457924,0.995,0.0,179.2010903219415,179.29220217393146,1.2103810044472798,1.1501932134801227
0,0.0,crump,0.07248616921963116,0.88,0.0,180.0,180.0,1.0,1.0
0,0.0,overlap,0.07280403243028949,0.88,0.0,179.99352847494458,179.99421433256174,0.24999996635916227,0.24999991275768915
0,0.1,unweighted,0.08152354633440025,0.61,0.0,180.0,180.0,1.0,1.0
0,0.1,source,0.07165045514449778,0.935,0.0,175.3032977508184,180.0,1.4972922310772168,1.0
0,0.1,target,0.07059046438962283,0.965,0.0,180.0,173.1856503569907,1.0,1.4056407805288706
0,0.1,both,0.061434832016897534,1.0,0.0,175.3032977508184,173.1856503569907,1.4972922310772168,1.4056407805288706
0,0.1,crump,0.08152354633440025,0.61,0.0,180.0,180.0,1.0,1.0
0,0.1,overlap,0.08090012584279167,0.64,0.0,179.79814753946147,179.43718796388671,0.24999998894842124,0.24999929027889445
0,0.2,unweighted,0.08998169295839048,0.29,0.0,180.0,180.0,1.0,1.0
0,0.2,source,0.07614442942516383,0.805,0.0,171.03789531697197,180.0,1.679546571284463,1.0
0,0.2,target,0.07163322693388008,0.91,0.0,180.0,163.84425120727127,1.0,1.609063941220662
0,0.2,both,0.059285520589412805,1.0,0.0,171.03789531697197,163.84425120727127,1.679546571284463,1.609063941220662
0,0.2,crump,0.08998169295839048,0.29,0.0,180.0,180.0,1.0,1.0
0,0.2,overlap,0.08660469927774857,0.44,0.0,179.3053453489966,177.36212878149294,0.2499981614948405,0.2499984239090387
0,0.3,unweighted,0.09537792924096936,0.195,0.0,180.0,180.0,1.0,1.0
0,0.3,source,0.07754664625511712,0.755,0.0,165.91511646664821,180.0,1.8541587151108445,1.0
0,0.3,target,0.0719618254431417,0.885,0.0,180.0,152.3048951632971,1.0,1.8229043469961113
0,0.3,both,0.05657988976374666,1.0,0.0,165.91511646664821,152.3048951632971,1.8541587151108445,1.8229043469961113
0,0.3,crump,0.09537792924096936,0.195,0.0,180.0,180.0,1.0,1.0
0,0.3,overlap,0.08948600577365506,0.355,0.0,178.33584981978433,173.75229281295543,0.2499999939065868,0.24999067178533693
0,0.4,unweighted,0.10770712067520195,0.025,1.0,180.0,180.0,1.0,1.0
0,0.4,source,0.0847429984109168,0.485,0.0,159.5590303584006,180.0,2.0486543369033408,1.0
0,0.4,target,0.07598941479292742,0.805,0.0,180.0,139.0444978234714,1.0,2.0680422913420466
0,0.4,both,0.0570600777469332,0.995,0.0,159.5590303584006,139.0444978234714,2.0486543369033408,2.0680422913420466
0,0.4,crump,0.1070370791855377,0.015,1.0,180.0,179.0,1.0,1.0
0,0.4,overlap,0.09810898618554068,0.115,0.0,176.55895676667924,169.16358200471666,0.2499998211979029,0.24998381767516006
1,0.0,unweighted,0.06852365302545345,0.935,0.0,180.0,180.0,1.0,1.0
1,0.0,source,0.06781840717619028,0.94,0.0,179.95322751670852,180.0,1.038913505734314,1.0
1,0.0,target,0.06772399405490886,0.945,0.0,180.0,179.95723809280443,1.0,1.047450897495204
1,0.0,both,0.06702367712022508,0.95,0.0,179.95322751670852,179.95723809280443,1.038913505734314,1.047450897495204
1,0.0,crump,0.06852365302545345,0.935,0.0,180.0,180.0,1.0,1.0
1,0.0,overlap,0.06888962539740222,0.935,0.0,179.99997253260122,179.99998302630496,0.24999999951650043,0.2499999986877398
1,0.1,unweighted,0.07827475422953818,0.67,0.0,180.0,180.0,1.0,1.0
1,0.1,source,0.07038984306775506,0.925,0.0,177.1067166732378,180.0,1.3058664498027168,1.0
1,0.1,target,0.06911671076235315,0.955,0.0,180.0,175.5592256156441,1.0,1.401521714391748
1,0.1,both,0.06164516718027911,0.985,0.0,177.1067166732378,175.5592256156441,1.3058664498027168,1.401521714391748
1,0.1,crump,0.07827475422953818,0.67,0.0,180.0,180.0,1.0,1.0
1,0.1,overlap,0.07717773092891242,0.76,0.0,179.8939540217047,179.73400333039515,0.24999943681545947,0.24999999942858317
1,0.2,unweighted,0.0865728518899558,0.375,0.0,180.0,180.0,1.0,1.0
1,0.2,source,0.07343790009375523,0.865,0.0,172.50045053810933,180.0,1.497810086685153,1.0
1,0.2,target,0.0697106231550096,0.92,0.0,180.0,165.79683790340817,1.0,1.6798758132997864
1,0.2,both,0.057856442561830784,1.0,0.0,172.50045053810933,165.79683790340817,1.497810086685153,1.6798758132997864
1,0.2,crump,0.0865728518899558,0.375,0.0,180.0,180.0,1.0,1.0
1,0.2,overlap,0.08276068266732796,0.525,0.0,179.3138914121744,178.04924866718144,0.24999924984317304,0.24998177000785368
1,0.3,unweighted,0.09697494570187472,0.135,0.0,180.0,180.0,1.0,1.0
1,0.3,source,0.08086079088597978,0.575,0.0,168.3003095368795,180.0,1.6349061305728207,1.0
1,0.3,target,0.07102059629598935,0.865,0.0,180.0,154.52781029108814,1.0,1.88778014630221
1,0.3,both,0.056726685277397965,1.0,0.0,168.3003095368795,154.52781029108814,1.6349061305728207,1.88778014630221
1,0.3,crump,0.09697494570187472,0.135,0.0,180.0,180.0,1.0,1.0
1,0.3,overlap,0.08821164601074324,0.28,0.0,178.3838804141295,175.1171322251029,0.2499936582833175,0.2499996957589492
1,0.4,unweighted,0.10450337696235329,0.06,0.0,180.0,180.0,1.0,1.0
1,0.4,source,0.0835296703774811,0.46,0.0,162.35752979846905,180.0,1.8089705423836584,1.0
1,0.4,target,0.07227007668093982,0.86,0.0,180.0,140.6936462244659,1.0,2.139413708191996
1,0.4,both,0.054601580289071805,0.995,0.0,162.35752979846905,140.6936462244659,1.8089705423836584,2.139413708191996
1,0.4,crump,0.10394104283402716,0.035,1.0,179.0,180.0,1.0,1.0
1,0.4,overlap,0.09271145398643928,0.2,0.0,176.518520952806,170.76456056276956,0.24999602748114957,0.24999643465199628
2,0.0,unweighted,0.06097511716963877,0.995,0.0,180.0,180.0,1.0,1.0
2,0.0,source,0.0641331916698412,0.985,0.0,179.456194326748,180.0,1.128240072696056,1.0
2,0.0,target,0.06388171105701546,0.985,0.0,180.0,179.52061194990117,1.0,1.1291283352362609
2,0.0,both,0.0671246180875178,0.98,0.0,179.456194326748,179.52061194990117,1.128240072696056,1.1291283352362609
2,0.0,crump,0.06097511716963877,0.995,0.0,180.0,180.0,1.0,1.0
2,0.0,overlap,0.06124542578758135,0.995,0.0,179.99656814126203,179.9978059253125,0.2499999916665002,0.2499998770001422
2,0.1,unweighted,0.07038819539704314,0.95,0.0,180.0,180.0,1.0,1.0
2,0.1,source,0.06682536055071159,0.985,0.0,178.96707340799387,180.0,1.2154963754729982,1.0
2,0.1,target,0.0649346100109082,0.985,0.0,180.0,178.31513073169145,1.0,1.201482933758602
2,0.1,both,0.06149608588743524,0.99,0.0,178.96707340799387,178.31513073169145,1.2154963754729982,1.201482933758602
2,0.1,crump,0.07038819539704314,0.95,0.0,180.0,180.0,1.0,1.0
2,0.1,overlap,0.07029818089124944,0.955,0.0,179.98792970261948,179.95956257045557,0.24999998410519872,0.24999998270935828
2,0.2,unweighted,0.07695295496113397,0.765,0.0,180.0,180.0,1.0,1.0
2,0.2,source,0.06965337746377392,0.94,0.0,176.04280689546573,180.0,1.4188085428000023,1.0
2,0.2,target,0.06419866936158329,0.99,0.0,180.0,171.40460204207838,1.0,1.4299062824146784
2,0.2,both,0.05748423145801816,0.995,0.0,176.04280689546573,171.40460204207838,1.4188085428000023,1.4299062824146784
2,0.2,crump,0.07695295496113397,0.765,0.0,180.0,180.0,1.0,1.0
2,0.2,overlap,0.07486856116142704,0.815,0.0,179.82654148646097,179.2208524841765,0.24999979828843055,0.24999991072324323
2,0.3,unweighted,0.0896739845297973,0.285,0.0,180.0,180.0,1.0,1.0
2,0.3,source,0.07871078065373055,0.74,0.0,171.17353228398645,180.0,1.6271277982061425,1.0
2,0.3,target,0.06652204920806237,0.965,0.0,180.0,159.8201292698288,1.0,1.691050334181256
2,0.3,both,0.05681036473994455,1.0,0.0,171.17353228398645,159.8201292698288,1.6271277982061425,1.691050334181256
2,0.3,crump,0.0896739845297973,0.285,0.0,180.0,180.0,1.0,1.0
2,0.3,overlap,0.08292379888701104,0.575,0.0,179.15185513684193,176.70145107988313,0.24999999665417202,0.2499986533962479
2,0.4,unweighted,0.10211737063709803,0.05,0.0,180.0,180.0,1.0,1.0
2,0.4,source,0.0862763564136794,0.42,0.0,165.56268861688199,180.0,1.8172614763351849,1.0
2,0.4,target,0.070205552182949,0.94,0.0,180.0,146.53043231437601,1.0,1.942272445965078
2,0.4,both,0.056927962959112864,1.0,0.0,165.56268861688199,146.53043231437601,1.8172614763351849,1.942272445965078
2,0.4,crump,0.10211737063709803,0.05,0.0,180.0,180.0,1.0,1.0
2,0.4,overlap,0.09097183429301355,0.265,0.0,177.77258657623221,172.60388904920725,0.24999994007888468,0.2499925074373181
3,0.0,unweighted,0.07811508440024387,0.785,0.0,180.0,180.0,1.0,1.0
3,0.0,source,0.08079166352745146,0.7,0.0,179.79847654622316,180.0,1.0960259251385338,1.0
3,0.0,target,0.08035501181798554,0.715,0.0,180.0,179.77951868690099,1.0,1.0837354427963035
3,0.0,both,0.08307931448138284,0.57,0.0,179.79847654622316,179.77951868690099,1.0960259251385338,1.0837354427963035
3,0.0,crump,0.07811508440024387,0.785,0.0,180.0,180.0,1.0,1.0
3,0.0,overlap,0.07853972454787392,0.785,0.0,179.99956597301684,179.99958879975142,0.24999999506265821,0.24999999977815446
3,0.1,unweighted,0.08837161351165981,0.35,0.0,180.0,180.0,1.0,1.0
3,0.1,source,0.08378093043786067,0.535,0.0,178.99569292422302,180.0,1.2137825102270499,1.0
3,0.1,target,0.08141757948549425,0.655,0.0,180.0,178.0465266841027,1.0,1.2000875293869584
3,0.1,both,0.07701284875473584,0.82,0.0,178.99569292422302,178.0465266841027,1.2137825102270499,1.2000875293869584
3,0.1,crump,0.08837161351165981,0.35,0.0,180.0,180.0,1.0,1.0
3,0.1,overlap,0.08837881418224204,0.365,0.0,179.9890731569148,179.9528642768968,0.24999944899533139,0.24999999864892467
3,0.2,unweighted,0.09870451912818168,0.085,0.0,180.0,180.0,1.0,1.0
3,0.2,source,0.08927851023875522,0.36,0.0,176.26780654189622,180.0,1.4093902034345374,1.0
3,0.2,target,0.08246266574661651,0.595,0.0,180.0,170.8019526428215,1.0,1.4219441238702268
3,0.2,both,0.07390980439085149,0.89,0.0,176.26780654189622,170.8019526428215,1.4093902034345374,1.4219441238702268
3,0.2,crump,0.09870451912818168,0.085,0.0,180.0,180.0,1.0,1.0
3,0.2,overlap,0.09682834973117602,0.12,0.0,179.84824722127513,179.28107805122033,0.24999992122917092,0.24999999355452618
3,0.3,unweighted,0.1050279178097851,0.03,1.0,180.0,180.0,1.0,1.0
3,0.3,source,0.09019263726521869,0.27,0.0,172.04104249559717,180.0,1.5998159877953293,1.0
3,0.3,target,0.08267184571452608,0.61,0.0,180.0,159.39389185354742,1.0,1.6655267987064881
3,0.3,both,0.06976197684536717,0.97,0.0,172.04104249559717,159.39389185354742,1.5998159877953293,1.6655267987064881
3,0.3,crump,0.1050279178097851,0.03,1.0,180.0,180.0,1.0,1.0
3,0.3,overlap,0.10125614963237442,0.065,0.0,179.31377937260766,177.17152204053787,0.24999999803414266,0.2499998388787108
3,0.4,unweighted,0.1166904368617589,0.01,1.0,180.0,180.0,1.0,1.0
3,0.4,source,0.09566615845994292,0.17,0.0,166.15438718525843,180.0,1.806688988661402,1.0
3,0.4,target,0.08499094497436993,0.535,0.0,180.0,145.19336907014096,1.0,1.9397132030772009
3,0.4,both,0.06763638796316437,0.975,0.0,166.15438718525843,145.19336907014096,1.806688988661402,1.9397132030772009
3,0.4,crump,0.1166904368617589,0.01,1.0,180.0,180.0,1.0,1.0
3,0.4,overlap,0.10909515097353362,0.02,1.0,177.97691821141532,173.3953666061166,0.2499998926391197,0.24999995206667433
4,0.0,unweighted,0.06618423544429203,0.96,0.0,180.0,180.0,1.0,1.0
4,0.0,source,0.06520059776653869,0.975,0.0,179.90594287996265,180.0,1.0592257958807898,1.0
4,0.0,target,0.06485332614730388,0.975,0.0,180.0,179.9048475473352,1.0,1.060740178588558
4,0.0,both,0.06388012976110984,0.975,0.0,179.90594287996265,179.9048475473352,1.0592257958807898,1.060740178588558
4,0.0,crump,0.06618423544429203,0.96,0.0,180.0,180.0,1.0,1.0
4,0.0,overlap,0.06650128957828053,0.96,0.0,179.99991901119444,179.99990345533644,0.2499999768213084,0.24999999998571
4,0.1,unweighted,0.076456559594574,0.755,0.0,180.0,180.0,1.0,1.0
4,0.1,source,0.06821493580112405,0.955,0.0,176.35661017557078,180.0,1.3656760105023562,1.0
4,0.1,target,0.06586472071863078,0.96,0.0,180.0,174.0594604228909,1.0,1.416503384646683
4,0.1,both,0.058339433768492294,0.985,0.0,176.35661017557078,174.0594604228909,1.3656760105023562,1.416503384646683
4,0.1,crump,0.076456559594574,0.755,0.0,180.0,180.0,1.0,1.0
4,0.1,overlap,0.07544176644821066,0.79,0.0,179.8867815122413,179.52932653770577,0.24999957637994735,0.24999975436814512
4,0.2,unweighted,0.08395823140527359,0.52,0.0,180.0,180.0,1.0,1.0
4,0.2,source,0.07236069715504659,0.875,0.0,172.68138158266288,180.0,1.5201467096169228,1.0
4,0.2,target,0.06381035378645025,0.965,0.0,180.0,164.31904168888306,1.0,1.6313043813967976
4,0.2,both,0.05382544588566872,0.995,0.0,172.68138158266288,164.31904168888306,1.5201467096169228,1.6313043813967976
4,0.2,crump,0.08395823140527359,0.52,0.0,180.0,180.0,1.0,1.0
4,0.2,overlap,0.07887460793260928,0.69,0.0,179.55276383657187,177.4213854841271,0.2499990145119593,0.24999998704306434
4,0.3,unweighted,0.09657008935375705,0.105,0.0,180.0,180.0,1.0,1.0
4,0.3,source,0.08076900581738666,0.63,0.0,168.23145256601615,180.0,1.6693976764773009,1.0
4,0.3,target,0.06671954695792517,0.965,0.0,180.0,152.1268118877423,1.0,1.8497794948466926
4,0.3,both,0.05386733714458031,0.99,0.0,168.23145256601615,152.1268118877423,1.6693976764773009,1.8497794948466926
4,0.3,crump,0.09657008935375705,0.105,0.0,180.0,180.0,1.0,1.0
4,0.3,overlap,0.08683480853986696,0.385,0.0,178.84398198373165,173.69297734162149,0.2499997609696982,0.2499983232909883
4,0.4,unweighted,0.10443785627190977,0.04,1.0,180.0,180.0,1.0,1.0
4,0.4,source,0.08394531753011833,0.5,0.0,161.41928145511656,180.0,1.8678581745012575,1.0
4,0.4,target,0.06841150183355754,0.94,0.0,180.0,137.23836155615874,1.0,2.129033325232017
4,0.4,both,0.05197667007693655,1.0,0.0,161.41928145511656,137.23836155615874,1.8678581745012575,2.129033325232017
4,0.4,crump,0.10400129275134479,0.02,1.0,180.0,178.0,1.0,1.0
4,0.4,overlap,0.09048129411064998,0.27,0.0,177.14336491495877,167.75525410137266,0.2499926698670644,0.2499985596443823
5,0.0,unweighted,0.10439889593811919,0.04,1.0,180.0,180.0,1.0,1.0
5,0.0,source,0.10185694716660784,0.075,0.0,179.60952553228304,180.0,1.132960655237569,1.0
5,0.0,target,0.10087714918139079,0.085,0.0,180.0,179.6496865894789,1.0,1.0981971844388427
5,0.0,both,0.09836060428847651,0.12,0.0,179.60952553228304,179.6496865894789,1.132960655237569,1.0981971844388427
5,0.0,crump,0.10439889593811919,0.04,1.0,180.0,180.0,1.0,1.0
5,0.0,overlap,0.10489035189091434,0.04,1.0,179.99844849089175,179.99866750026064,0.2499999997450294,0.24999999702343115
5,0.1,unweighted,0.10976925868770004,0.015,1.0,180.0,180.0,1.0,1.0
5,0.1,source,0.10113893630134797,0.07,0.0,176.4949340320088,180.0,1.39325256824387,1.0
5,0.1,target,0.09735695652454791,0.135,0.0,180.0,174.49142362538683,1.0,1.3313237409192193
5,0.1,both,0.08905384447657155,0.345,0.0,176.4949340320088,174.49142362538683,1.39325256824387,1.3313237409192193
5,0.1,crump,0.10976925868770004,0.015,1.0,180.0,180.0,1.0,1.0
5,0.1,overlap,0.10894826993466672,0.025,1.0,179.88146247142802,179.53705666327846,0.249998418834736,0.2499999642863652
5,0.2,unweighted,0.12171720488492607,0.005,1.0,180.0,180.0,1.0,1.0
5,0.2,source,0.10908005921086478,0.03,1.0,172.50940221951828,180.0,1.5730777303630628,1.0
5,0.2,target,0.09921612317302542,0.1,0.0,180.0,165.11413972940974,1.0,1.5355732609748682
5,0.2,both,0.08731605302688933,0.39,0.0,172.50940221951828,165.11413972940974,1.5730777303630628,1.5355732609748682
5,0.2,crump,0.12171720488492607,0.005,1.0,180.0,180.0,1.0,1.0
5,0.2,overlap,0.11780057903123722,0.015,1.0,179.47913342254952,177.70800060105154,0.24999906593744384,0.24999994039987442
5,0.3,unweighted,0.13024903692272521,0.005,1.0,180.0,180.0,1.0,1.0
5,0.3,source,0.1136895402638195,0.01,1.0,167.84688271838868,180.0,1.7366464331807951,1.0
5,0.3,target,0.0995457153805004,0.095,0.0,180.0,153.52617477630108,1.0,1.7442598316349327
5,0.3,both,0.08438801747553495,0.55,0.0,167.84688271838868,153.52617477630108,1.7366464331807951,1.7442598316349327
5,0.3,crump,0.13024903692272521,0.005,1.0,180.0,180.0,1.0,1.0
5,0.3,overlap,0.12303444215573155,0.005,1.0,178.66810789648662,174.44798820897017,0.24999999934698033,0.24999999852397925
5,0.4,unweighted,0.13946659807956105,0.005,1.0,180.0,180.0,1.0,1.0
5,0.4,source,0.12042440014349955,0.01,1.0,162.78224860693993,180.0,1.8955329512599488,1.0
5,0.4,target,0.09849741324178696,0.12,0.0,180.0,141.15553960157453,1.0,1.958274682610689
5,0.4,both,0.0813196586100192,0.625,0.0,162.78224860693993,141.15553960157453,1.8955329512599488,1.958274682610689
5,0.4,crump,0.13728768437601147,0.005,1.0,180.0,178.0,1.0,1.0
5,0.4,overlap,0.12689094919819593,0.005,1.0,177.39079234856572,170.2824811836316,0.249999841181635,0.2499919418188948
6,0.0,unweighted,0.07525020195092212,0.85,0.0,180.0,180.0,1.0,1.0
6,0.0,source,0.07800089608421822,0.785,0.0,179.7309932225571,180.0,1.107023944060348,1.0
6,0.0,target,0.07776295203914224,0.785,0.0,180.0,179.71823303862735,1.0,1.0975873410377361
6,0.0,both,0.0805779197827034,0.705,0.0,179.7309932225571,179.71823303862735,1.107023944060348,1.0975873410377361
6,0.0,crump,0.07525020195092212,0.85,0.0,180.0,180.0,1.0,1.0
6,0.0,overlap,0.07565600247073603,0.85,0.0,179.9989593371501,179.99925583757127,0.2499999947962268,0.2499999998453925
6,0.1,unweighted,0.08649268404206675,0.45,0.0,180.0,180.0,1.0,1.0
6,0.1,source,0.08159504516010574,0.66,0.0,178.6790613175111,180.0,1.2786112755569925,1.0
6,0.1,target,0.0791628639656842,0.76,0.0,180.0,177.68952486691632,1.0,1.2742666407338687
6,0.1,both,0.07451656066766525,0.885,0.0,178.6790613175111,177.68952486691632,1.2786112755569925,1.2742666407338687
6,0.1,crump,0.08649268404206675,0.45,0.0,180.0,180.0,1.0,1.0
6,0.1,overlap,0.08654867286284758,0.46,0.0,179.97542340955468,179.9408067826647,0.2499999919909728,0.24999997279737982
6,0.2,unweighted,0.09840170610425239,0.09,0.0,180.0,180.0,1.0,1.0
6,0.2,source,0.0888422576092431,0.41,0.0,175.54478047175635,180.0,1.504134426504423,1.0
6,0.2,target,0.08154967530667795,0.665,0.0,180.0,170.0417493593297,1.0,1.5337273741349597
6,0.2,both,0.07293321713374666,0.91,0.0,175.54478047175635,170.0417493593297,1.504134426504423,1.5337273741349597
6,0.2,crump,0.09840170610425239,0.09,0.0,180.0,180.0,1.0,1.0
6,0.2,overlap,0.09631695572812977,0.16,0.0,179.731571466765,179.0540944350028,0.2499994392919146,0.24999725484652618
6,0.3,unweighted,0.10841354023776864,0.015,1.0,180.0,180.0,1.0,1.0
6,0.3,source,0.09307136437692975,0.29,0.0,170.2359477684576,180.0,1.742145380396453,1.0
6,0.3,target,0.08302834369611625,0.6,0.0,180.0,157.57079054308488,1.0,1.7127766241477982
6,0.3,both,0.06988168678609807,0.965,0.0,170.2359477684576,157.57079054308488,1.742145380396453,1.7127766241477982
6,0.3,crump,0.10841354023776864,0.015,1.0,180.0,180.0,1.0,1.0
6,0.3,overlap,0.10327931687752241,0.06,0.0,178.78870098178177,176.0922441378557,0.24999942280933696,0.24999954356310347
6,0.4,unweighted,0.1190015727404359,0.005,1.0,180.0,180.0,1.0,1.0
6,0.4,source,0.09931668277385676,0.085,0.0,164.30425466246857,180.0,1.9547568688195347,1.0
6,0.4,target,0.08308195722749592,0.605,0.0,180.0,143.6218997404,1.0,1.9745521712231129
6,0.4,both,0.06658604065917187,0.98,0.0,164.30425466246857,143.6218997404,1.9547568688195347,1.9745521712231129
6,0.4,crump,0.1190015727404359,0.005,1.0,180.0,180.0,1.0,1.0
6,0.4,overlap,0.10733133654001786,0.025,1.0,177.06909996718488,171.52020284828615,0.24999959333120703,0.24999930053170658
7,0.0,unweighted,0.07588354957323579,0.79,0.0,180.0,180.0,1.0,1.0
7,0.0,source,0.07898628632194506,0.68,0.0,179.74076796769936,180.0,1.12019297489782,1.0
7,0.0,target,0.07790025065119435,0.735,0.0,180.0,179.78383520693205,1.0,1.07823474508344
7,0.0,both,0.08105304366770971,0.655,0.0,179.74076796769936,179.78383520693205,1.12019297489782,1.07823474508344
7,0.0,crump,0.07588354957323579,0.79,0.0,180.0,180.0,1.0,1.0
7,0.0,overlap,0.07628828750142197,0.79,0.0,179.99918600251453,179.99960982542194,0.24999996880248382,0.24999999961922773
7,0.1,unweighted,0.08503812490474014,0.505,0.0,180.0,180.0,1.0,1.0
7,0.1,source,0.07917785072418718,0.73,0.0,178.54623533124393,180.0,1.1841946075574015,1.0
7,0.1,target,0.07846849987455269,0.72,0.0,180.0,177.6904037771388,1.0,1.247184814220779
7,0.1,both,0.07282685647156667,0.845,0.0,178.54623533124393,177.6904037771388,1.1841946075574015,1.247184814220779
7,0.1,crump,0.08503812490474014,0.505,0.0,180.0,180.0,1.0,1.0
7,0.1,overlap,0.08493551976228272,0.52,0.0,179.97238181497437,179.92649349029662,0.24999955060531248,0.24999999909304407
7,0.2,unweighted,0.09401173506325256,0.2,0.0,180.0,180.0,1.0,1.0
7,0.2,source,0.08243515282289683,0.61,0.0,174.73277358144895,180.0,1.3556583180613653,1.0
7,0.2,target,0.07927518357634913,0.71,0.0,180.0,169.4250052495094,1.0,1.5118755810691706
7,0.2,both,0.06849557422227917,0.92,0.0,174.73277358144895,169.4250052495094,1.3556583180613653,1.5118755810691706
7,0.2,crump,0.09401173506325256,0.2,0.0,180.0,180.0,1.0,1.0
7,0.2,overlap,0.09146392450929836,0.3,0.0,179.64019556426885,178.81619337714648,0.24999999979566082,0.24999986370545949
7,0.3,unweighted,0.10286630372656608,0.05,0.0,180.0,180.0,1.0,1.0
7,0.3,source,0.08521750508986106,0.49,0.0,169.47016773711823,180.0,1.5174239147128528,1.0
7,0.3,target,0.08103830375305494,0.66,0.0,180.0,157.15803549226158,1.0,1.7754275178108305
7,0.3,both,0.06525985866607595,0.975,0.0,169.47016773711823,157.15803549226158,1.5174239147128528,1.7754275178108305
7,0.3,crump,0.10286630372656608,0.05,0.0,180.0,180.0,1.0,1.0
7,0.3,overlap,0.09691168314927345,0.165,0.0,178.6449773661642,175.69886755665493,0.2499951612145092,0.24999937978550202
7,0.4,unweighted,0.10947720717116295,0.02,1.0,180.0,180.0,1.0,1.0
